trial,value,params
230,9.17360515007489,"{'alpha': 0.01120955641595711, 'l1_ratio': 0.8845830426572094}"
231,9.173729489536843,"{'alpha': 0.011231533711846315, 'l1_ratio': 0.8775048657294328}"
232,9.180111934140147,"{'alpha': 0.01393845675065954, 'l1_ratio': 0.6771494478213766}"
233,9.173474343603463,"{'alpha': 0.01000603639062509, 'l1_ratio': 0.8736552322663828}"
234,9.173379405440349,"{'alpha': 0.0110817241921669, 'l1_ratio': 0.8968926550153828}"
235,9.173122916996915,"{'alpha': 0.010036089278025009, 'l1_ratio': 0.8997660597796342}"
236,9.1731983741786,"{'alpha': 0.010222822319477153, 'l1_ratio': 0.8968612886349918}"
237,9.173419202492193,"{'alpha': 0.011428587343968656, 'l1_ratio': 0.8990975195597737}"
238,9.173155479171928,"{'alpha': 0.010162467262403817, 'l1_ratio': 0.8991680901634441}"
239,9.173368085478407,"{'alpha': 0.011249407588611572, 'l1_ratio': 0.8999046429653228}"
240,9.173146597597771,"{'alpha': 0.010022619288714322, 'l1_ratio': 0.8977168069541661}"
241,9.173149974622275,"{'alpha': 0.010023455143626209, 'l1_ratio': 0.8974691567182996}"
242,9.173835833005528,"{'alpha': 0.01330834429068294, 'l1_ratio': 0.8995484442919128}"
243,9.174465026339075,"{'alpha': 0.013264565951026073, 'l1_ratio': 0.8697346593988418}"
244,9.173320186933207,"{'alpha': 0.010011233026740061, 'l1_ratio': 0.8846311462094135}"
245,9.173202576939113,"{'alpha': 0.010434980283802521, 'l1_ratio': 0.8996886227730041}"
246,9.173526803023858,"{'alpha': 0.010203021130620667, 'l1_ratio': 0.873456149103789}"
247,9.173388899900695,"{'alpha': 0.010302737533547173, 'l1_ratio': 0.8845443038297364}"
248,9.17348145419422,"{'alpha': 0.010039699926427779, 'l1_ratio': 0.8737469477615589}"
249,9.17348489381781,"{'alpha': 0.010001719925558128, 'l1_ratio': 0.8728315876987203}"
250,9.173420285899557,"{'alpha': 0.01030569184968739, 'l1_ratio': 0.882438446843789}"
251,9.17424019738615,"{'alpha': 0.012290198598570033, 'l1_ratio': 0.8662217066887555}"
252,9.173618233133853,"{'alpha': 0.010066326855258512, 'l1_ratio': 0.8648829234282599}"
253,9.174453399676297,"{'alpha': 0.01241561477249181, 'l1_ratio': 0.8578764746926391}"
254,9.173670846611339,"{'alpha': 0.012586247137124891, 'l1_ratio': 0.8994196944728508}"
255,9.173689393273742,"{'alpha': 0.012558636806650302, 'l1_ratio': 0.8980704617227654}"
256,9.173691297395044,"{'alpha': 0.012647619982475997, 'l1_ratio': 0.8990655620519744}"
257,9.18477511469726,"{'alpha': 0.01384986865240013, 'l1_ratio': 0.5222752645129626}"
258,9.17435005001247,"{'alpha': 0.014111074522792416, 'l1_ratio': 0.8855732056113724}"
259,9.174427036580866,"{'alpha': 0.014292206253675823, 'l1_ratio': 0.8844460700977117}"
260,9.173666977307072,"{'alpha': 0.01133315158034131, 'l1_ratio': 0.8827700057765657}"
261,9.173679407885732,"{'alpha': 0.011378380078141057, 'l1_ratio': 0.882707128963824}"
262,9.173346640544443,"{'alpha': 0.010004418442899277, 'l1_ratio': 0.8825964549220594}"
263,9.17422364679779,"{'alpha': 0.011402403822255314, 'l1_ratio': 0.8527943781856181}"
